tweet_text,caution_and_advice,displaced_people_and_evacuations,infrastructure_and_utility_damage,injured_or_dead_people,missing_or_found_people,not_humanitarian,other_relevant_information,requests_or_urgent_needs,rescue_volunteering_or_donation_effort,sympathy_and_support
"I can’t imagine hitting send on a tweet like this when 9 people are dead, many more injured, and thousands are away from their homes. I think those people would rather see a tweet of hope or optimism from the President and not one threatening to withhold federal funding. Sad.",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"#CampFire has killed 77 people, torched an area the size of Chicago,” and is not even halfway done burning. Make no mistake: Political inaction on climate change is a death sentence.",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"ὒ5 California Wildfire Update: As of Wednesday, November 14, the #CampFire (Butte County) has burned 138,000 acres. The death toll has risen to 56. 130 people missing. #CaliforniaWildfire",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"Kanye West reportedly raises $500,000 for California wildfire relief",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
This morning @KTLA is having a telethon to raise money for those impacted by the California wildfires. If you are in the thankful and giving spirit please call and donate. We just did. 1-844-291-7270 #HappyThanksgiving,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Search For The Missing In California Wildfires Continues: Dozens of disaster workers from,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
RT @sacbee_news: UPDATE: The Camp Fire death toll rises to 76 #CampFire #Paradise #California #wildfires  .,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"The nations deadliest wildfire in a century killed at least 85 people, and 249 are on a list of those unaccounted for. The number of missing dropped in recent days as officials confirmed that more people were alive.",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"#Packers donate $250,000 to @AaronRodgers12 fundraising campaign for California fire recovery. Rodgers donated $1 million and invited others to donate and retweet his message on Twitter with #Retweet4Good. To learn more or donate, go to . #Packers100",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
"@realDonaldTrump @FoxNews Will you talk about raking the forests, blaming #California for the fires. #CaliforniaWildfires #ClimateChangeIsReal #GOPbastards #HandsOffCalifornia #TrumpRussia #MARINESagainstTrump #VeteransAgainstTrump",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"@WhiteHouse Trump brought shame upon his office this week more than Obama ever did. Disrespected people who died and lost homes in California fires, the firefighters who have been risking their lives AND our veterans. Those in the White House must be embarrassed to work for this asshole.",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"Hey guys. If you could say a prayer for some family members in Thousand Oaks, California and some friends in Camarillo, California (USA), I would appreciate it. Big fires there. Thanks so much. ✌ἿB❤️ὄDἰ8ᾑ3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"1,000 people are missing or dead in California. If this had been a terrorist attack, we’d have torn our laws apart to prevent another. Instead we have Trump and his EPA nominee Wheeler acting in energy executives’ interests for policies to cause even worse wildfires in the future",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"Ive just posted a new blog: Nearly 1,000 Still Missing in California Wildfires",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
We just found out that insurance companies will not pay more than $200 s.f. for California fire residents. Our company has committed to helping. Homes will be 50% retardant  PM us.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
California wildfires: Trump surveys ruins as death toll touches 71 via @news_all_in,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"One more fatality added to death toll of #CampFire, bringing total number of deaths to at least 77. The number of those unaccounted for decreased to 993. At least 80 people died in California since wildfires broke out earlier this month.  #WoolseyFire",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Evacuees at Camp Fire incident center being told they’ll be able to check on their property in days to weeks.” Area not habitable for months.” Damage comparable to Cat. 5 hurricane #campfire @KQEDnews,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Authorities Say 42 People Are Dead in Camp Fire In Northern California:,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"California #WILDFIRE Location Maps Update: Malibu, Paradise Homes Destroyed by Blaze, Dozens of Casualties Reported  #GPWX",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"The wildfire has killed at least 71 people, with the number climbing daily.",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
RT @benFranklin2018: Walmart is evicting 100 #CampFire refugees from their parking lot in time for black friday.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#Campfire death toll climbs to 63; number of missing jumps to 631,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
California Ford dealership is slammed for disgusting ad during fires  via @MailOnline,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Death toll from Camp fire rises to 81 as searchers continue their grim work,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
@MSNBC Tragic event? No. A tsunami is a tragic event. Wild fires in California (PARADISE) are tragic events. Hurricanes and tornadoes are tragic events. Khashoggi was MURDERED. At the direction of the Crown Prince. Dont want to affect your income huh Trump?,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Rescue workers wearing hard hats and masks are searching for bone fragments and other human remains from the devastating Northern California wildfire. Rain in the forecast could hamper those efforts.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
You have no idea what forrest fires are,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
@realDonaldTrump If only Jerry Brown approved taking out all those dead bark Beatle infected trees! These fires wouldnt be as bad! Letting all the brush stay was only a matter of time till disaster! It was poor management beginning with the head of California!,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"#TTMN | Top Most Noticed News Stories | #Brexit (68%) is the top most noticed news story having been noticed by the majority of the public, followed by California wildfires (4%) and #MatthewHedges (2%)",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"RT @RobMooreNRDC: We’re slowly marching toward a world that’s uninsurable.” -- Dave Jones, California’s insurance commissioner",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
48 people confirmed dead in CAs historicslly WORST EVER CAMP FIRE ENVIRONMENTAL EPIDEMIOLOGISTS ( real smart environmental doctors) expect that this and future fires will cause smoke waves thatll screw air quality for 82million Americans from Oregon to the Great Plains,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Death toll in California fire soars to 76 as US President Donald Trump surveyed the devastation in the town of Paradise,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"It’s no accident these fires are in wealthiest areas of California. Because no law enforcement agencies monitor militant Muslim &amp; Antifa groups for fear of being labeled racists, these groups plan &amp; carry out quick &amp; dirty plots to hurt Americans. These fires are one tactic.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
We mourn for the lives lost and we pray for the victims of the California Wildfires. I want to thank the Firefighters and First Responders for their incredible courage in the face of grave danger.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
DNA Samples Needed to Identify Camp Fire Victims,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Our thoughts are with our emergency service colleagues and communities currently being affected by the fires burning in #California.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"Smoke From California Wildfires Visible In New York, New Jersey",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Trump threatens to pull federal funding for California wildfires over gross mismanagement this shows that he is Not president for All Americans.,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
RT @trending27: Thats the holiday spirit! Walmart kicks California wildfire victims out of parking lot camp — RT US News,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Authorities search for missing in wind-whipped California wildfires   #news #breaking #trump,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"California Camp Fire Death Toll Reaches 81, Fire Authorities Say",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"The deadly #CampFire in #California is now 100% contained. The American Red Cross began the response more than two weeks ago and remains on the ground, providing shelter, food and comfort to those impacted by these devastating fires. #RedCross",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
"ALERT:ὢ8Ὥ1 This is DS Warfare. Not California wildfires [Research: DEWs] This is mass - murder, weaponized destruction. The people escaped onto the beach in those cars and were vaporized and killed. @JerryBrownGov is complicit. @SGTreport",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"Chico evacuation shelter 9 miles from the Camp Fire (Paradise, CA) now 20 percent contained. Air quality improving in Chico, moved from extreme to unhealthy. If you have to be outside wear a mask. @ABC10 #12News",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Current structure status map of the Woolsey Fire in California, maintained by Ventura County Sheriffs Office of Emergency Services View Map:  @VENTURASHERIFF @CountyVentura @vcstar @VCFD @VCFD_Bot #GIS #Esri #Fire #WoolseyFire #wildfires",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RT @NBCNewYork: UPDATE: 79 confirmed dead in devastating northern California wildfire,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"Northstate stylists and barbers are helping each other in the aftermath of the disastrous Camp Fire that destroyed businesses, to show generosity and compassion. READ MORE&gt;&gt;",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
"The Camp Fire in Northern California’s Butte County has left 29 people dead and destroyed more than 6,700 structures. It’s the state’s most destructive fire.",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Im happy to announce that we raised over $1000 for the California Community Fund’s Wildfire Relief Fund last night at monday_monday_at_hotel_cafe!! Thanks to all of the,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Aaron Rodgers is donating $1 million to relief and recovery efforts for communities affected by the California wildfires,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
