tweet_text,predictions_class,class_label
RT @CNeroTV: #UPDATED: Evacuation Order,displaced_people_and_evacuations,displaced_people_and_evacuations
Theres nothing more radical” and dangerous to Life and property than Fascism and willfully giving one’s ENTIRE GOVERNMENT over to them. Including those with the,not_humanitarian,not_humanitarian
"Dear World, please help us.",requests_or_urgent_needs,sympathy_and_support
RT @TCDSB: Support relief efforts for victims of Alberta wildfire &amp; earthquake in Ecuador @archtoronto  #TCDSBisFami,rescue_volunteering_or_donation_effort,rescue_volunteering_or_donation_effort
These heroes brought students to their families even when it meant being separated from their own #albertastrong,not_humanitarian,rescue_volunteering_or_donation_effort
The CHURCH needs to be present in #CYCLONEIDAI affected areas. People are traumatized - both survivors &amp; rescuers- and they need counselling &amp; prayer @EFZZIMBABWE @ShingiMunyeza @tomdeuschle @zccinzim @rashidmahiya1 @LovemoreNyatsin,rescue_volunteering_or_donation_effort,requests_or_urgent_needs
This is greatly sad. The government should rwach out to help affected people.,sympathy_and_support,requests_or_urgent_needs
The way he says Ngatinyararei” as if he is addressing school children. The sign language lady sums it up by just putting a finger on her lips. Shhh ᾒB @Mathuthu,other_relevant_information,not_humanitarian
RT @RaptorCulture: #Ecuador is in confusion after a magnitude 7.8 Earthquake hits the country. Watch the video of the moment it hit: :,caution_and_advice,other_relevant_information
RT @ShakingEarth: Massive #Earthquake #Ecuador - President #Correa reports that at least 233 people have been killed -,injured_or_dead_people,injured_or_dead_people
"RT @PSYCHICTWINS: Huge Ecuador earthquake of 7.8 magnitude kills dozens. Prayers out, stay strong Ecuador.",injured_or_dead_people,sympathy_and_support
#rt Ecuador quake death toll hits 413: At least 413 people are now known to have died in the earthquak  #follow,injured_or_dead_people,injured_or_dead_people
"@BTS_twt is sad ὢD but..It would be really important if you guys say the same for my country ecuador.. We had an earthquake of 7.8, 200died",sympathy_and_support,injured_or_dead_people
Please donate to the damaged by the earthquake in Ecuador - finchelinthetardis: Yesterday there was a 7.8,rescue_volunteering_or_donation_effort,rescue_volunteering_or_donation_effort
"CNN Student News - 04/18/16: Earthquakes claim lives and homes in Ecuador and Japan, divers excav  #studentnews",injured_or_dead_people,injured_or_dead_people
RT @LauraNBC6: Local Ecuadorians collecting donations for #earthquake victims at Mi Lindo Ecuador Restaurant. More on their efforts 6pm on,rescue_volunteering_or_donation_effort,rescue_volunteering_or_donation_effort
RT @GISCorps: GISCorps volunteers ready to assist with #Ecuadorearthquake,rescue_volunteering_or_donation_effort,rescue_volunteering_or_donation_effort
"RT @andrexebastian: If you are in NY, donations for Ecuador’s relief can be made @ TimesSq 7pm tom or dropped off @ 301W 57th under Carla N",rescue_volunteering_or_donation_effort,rescue_volunteering_or_donation_effort
@Dyrus Hi Dyrus! Im Ecuadorian and I watch your streams. Please pray for Ecuador. 7.8 earthquake.,sympathy_and_support,sympathy_and_support
Our thoughts are with those affected by #EcuadorEarthquake. You can help survivors of this disaster:  (via @UNOCHA),sympathy_and_support,sympathy_and_support
"RT @gemecris: Palestine to send medics, aid to Ecuador after deadly earthquake  Shukran Palestine!!! Ὁ6",rescue_volunteering_or_donation_effort,rescue_volunteering_or_donation_effort
"RT @bamasevere: Epicenter of the magnitude 7.8 #earthquake was near Muisne, Ecuador.",caution_and_advice,other_relevant_information
"Devastating Ecuadors earthquake yesterday night! Prayers to all of them! @ Quito, Ecuador",sympathy_and_support,sympathy_and_support
RT @AP: US State Department says at least one American is among the 350 confirmed dead in Ecuador earthquake:,injured_or_dead_people,injured_or_dead_people
RT @mercnews: Ecuador: 7.8 earthquake kills 77; damage stretches for hundreds of miles,injured_or_dead_people,injured_or_dead_people
נυиισя™ REI opens disaster relief center in Nepal a year after devastating earthquake: April 25 will mark the,rescue_volunteering_or_donation_effort,rescue_volunteering_or_donation_effort
RT @1D_Updates_EU: Thoughts and prayers are going out to everyone effected in Ecuador ὢA #PrayForEcuador,sympathy_and_support,sympathy_and_support
RT @AntonellaKahllo: My heart goes to my people #EcuadorEarthquake ὡE,sympathy_and_support,sympathy_and_support
"RT @TaniaPalijo: A powerful 7.8-magnitude earthquake struck Ecuador, destroying buildings and peoples lives. #EcuadorEarthquake .",infrastructure_and_utility_damage,infrastructure_and_utility_damage
"RT @IndustriasEc: #EcuadorEarthquake. Every dollar counts. Please, donate through the following accounts. #EcuadorListoYSolidario",rescue_volunteering_or_donation_effort,rescue_volunteering_or_donation_effort
Official European Account for help and relief donations for Ecuadorian victims of Earthquake! #EcuadorEarthquake,rescue_volunteering_or_donation_effort,rescue_volunteering_or_donation_effort
"RT @britboy18: Ecuadorian people is strong, Im sending prayers to all the people who lost someone in this earthquake. #PrayForEcuador #Ecu",sympathy_and_support,sympathy_and_support
RT @jorgevargasch: #PrayForEcuador Visit  to donate if you are not in #Ecuador.,rescue_volunteering_or_donation_effort,rescue_volunteering_or_donation_effort
RT @SophiyAnjam: Prayers for the victims &amp; their families ὤF Terrible news! ὢ2#EcuadorEarthquake,sympathy_and_support,sympathy_and_support
238 dead as quake devastates Ecuador’s coast zone: South American states rush aid to the affec  #pakistan #news,injured_or_dead_people,injured_or_dead_people
"Some really bad news out of Japan and Ecuador this weekend. For what its worth, my thoughts and prayers are with the people there.",sympathy_and_support,sympathy_and_support
"RT @MacCocktail: On this date, April 18, 1906, a major earthquake struck San Francisco with a 7.8 magnitude. 3,000 people died.",injured_or_dead_people,injured_or_dead_people
RT @CatholicRelief: Please keep everyone affected by the massive earthquake in #Ecuador in your thoughts &amp; prayers. #EcuadorEarthquake http,sympathy_and_support,sympathy_and_support
RT @reportedly: .@globalvoices translated more local reports/reactions on the #EcuadorEarthquake,other_relevant_information,other_relevant_information
Independent:  RT IndyUSA: 233 people killed after 7.8-magnitude earthquake hits Ecuador,injured_or_dead_people,injured_or_dead_people
"The @CeibaFoundation, @GreenMonkeyFarm and @TMAllianceEC all work 15 mins from #Pedernales. We are coordinating relief. #EcuadorEarthquake",rescue_volunteering_or_donation_effort,rescue_volunteering_or_donation_effort
RT @abc7newsBayArea: #BREAKING: Ecuadors Vice President says at least 28 people have been killed in a powerful 7.8-magnitude earthquake. h,injured_or_dead_people,injured_or_dead_people
RT @NatsCallejas: Please donate for #Ecuador through @QuitoShapers fund @GiGiHadid @KendallJenner @Caradelevingne @BeePrinsloo and RT,rescue_volunteering_or_donation_effort,rescue_volunteering_or_donation_effort
RT @shababaty: #EcuadorEarthquake First images of #Pedernales were 300Dead have been reported  via @teleamazonasec,other_relevant_information,injured_or_dead_people
"Not water, not electricity. This earthquake has hit us horrible. We can go through this together. #EcuadorEarthquake",other_relevant_information,not_humanitarian
How you can help survivors of the massive earthquake in Ecuador: A national emergency has been declared in Ec,rescue_volunteering_or_donation_effort,rescue_volunteering_or_donation_effort
RT @NewsyVideos: Dozens are dead after a magnitude-7.8 earthquake hit Ecuador Saturday night.,injured_or_dead_people,injured_or_dead_people
